number,StreamClasicSort,StreamParallelSort,QuickeInsertionSort,ParallelQuickInsertionSort,QuickeSort,ParallelQuickSort,MergeSort,ParallelMergeSort,ParallelSampleSort,StreamSortSpeed,QuickeInsertionSortSpeed,QuickeSortSpeed,MergeSortSpeed,SampleSortSpeed
1,384100,101980,51180,138200,45420,156490,59050,166790,2951350,3.766424789174348,0.3703328509406657,0.2902421879992332,0.3540380118712153,0.017341216731326343
100,296510,343670,28030,121720,20820,198540,45670,234920,2211340,0.8627753368056565,0.23028261583963194,0.10486551828346932,0.1944066065043419,0.012675572277442636
200,114190,251110,34170,172850,20080,194930,42640,287170,1782540,0.4547409501811955,0.1976858547873879,0.10301133740317037,0.1484834766862834,0.01916927530378
300,109830,237520,23240,142910,29900,180270,51710,232040,1866570,0.4624031660491748,0.1626198306626548,0.1658623176346591,0.22284950870539563,0.0124506447655325
400,110630,214410,32590,197860,30340,167670,74610,185520,2161500,0.5159740683736767,0.16471242292530072,0.18095067692491204,0.40216688227684344,0.015077492482072635
500,224570,222130,41030,213920,36730,156190,96010,124360,1927780,1.0109845585918156,0.1918006731488407,0.23516230232409246,0.7720328079768414,0.021283548952681322
600,189590,249240,43450,256060,39740,108200,100610,142890,2139290,0.7606724442304607,0.16968679215808793,0.36728280961182996,0.7041080551473161,0.020310476840447064
700,157840,272350,32720,155760,89660,135030,135960,210450,2095380,0.5795483752524325,0.21006676938880328,0.6640005924609346,0.6460441910192445,0.015615306054271779
800,143650,178140,43530,121030,50710,106080,115570,137400,1775870,0.8063882339732794,0.35966289349748,0.4780354449472097,0.8411208151382824,0.024511929364198957
900,158500,204260,52960,81260,62250,94590,129890,143060,1587130,0.7759718006462352,0.6517351710558701,0.6581033935934031,0.9079407241716763,0.03336840712481019
1000,132390,192930,56770,102070,68280,109960,168540,168000,2026350,0.6862074327476286,0.5561869305378662,0.6209530738450345,1.0032142857142856,0.028015890640807364
2000,156440,313480,116930,138450,123920,134320,324380,213040,1850580,0.4990430011483986,0.844564824846515,0.9225729600952948,1.5226248591813745,0.06318559586724162
3000,271920,308310,159980,174700,164350,171580,418240,263650,1905410,0.8819694463364796,0.9157412707498569,0.9578622217041614,1.5863455338516974,0.08396093229278738
4000,342790,353180,221810,144380,234390,188020,543930,471050,1962510,0.9705815731355116,1.5362931153899433,1.2466226997127965,1.154718182783144,0.11302362790508073
5000,387040,430980,261370,185890,283970,186630,585370,371310,1719900,0.89804631305397,1.4060465866910539,1.5215667363232064,1.5764994209690018,0.1519681376824234
6000,462430,345510,300790,204260,360370,250090,802000,413990,1658300,1.3383983097450147,1.4725839616175462,1.4409612539485785,1.9372448609869803,0.181384550443225
7000,523970,437400,375240,240840,404720,263900,922350,466540,1990570,1.1979195244627343,1.5580468360737418,1.533611216369837,1.977000900244352,0.1885088190819715
8000,523800,366780,429300,229470,468640,282320,958060,469610,1899960,1.4281040405692786,1.870832788599817,1.6599603287050155,2.040118396115926,0.2259521253079012
9000,629360,441760,517410,283570,554940,303280,1224650,689470,2040890,1.4246649764578052,1.8246288394399972,1.8297942495383803,1.776219414912904,0.25352174786490206
10000,679570,407160,567090,275930,619540,325400,1315750,601410,1772860,1.6690490224972983,2.055195158192295,1.9039336201598034,2.187775394489616,0.31987297361325767
20000,1137040,1478500,1103310,434410,1168050,543610,2256150,1077360,1937430,0.7690497125464998,2.5397895996869315,2.1486911572634795,2.094146803296948,0.5694708970130534
30000,1625360,609860,1657140,574290,1939820,789450,3302800,1237630,2081060,2.665136260781163,2.8855456302564906,2.4571790487047944,2.668648950009292,0.7962961183243155
40000,2913650,728340,2642530,862570,2719880,885900,5164950,2012440,3743450,4.0003981656918475,3.0635542622627727,3.070188508861045,2.566511299715768,0.7059076520322163
50000,3221070,1043070,3283650,1275390,3739950,1661630,6420150,2492420,4531390,3.088066956196612,2.574624232587679,2.250771832477748,2.5758700379550796,0.7246451971690806
60000,3850360,1149030,3905020,1691630,4173540,1966950,7270430,3692790,5013060,3.350965597068832,2.308436241967806,2.1218332952032335,1.9688176148657248,0.7789693321045429
70000,6839190,2213930,7724240,2314380,7863480,2627000,15667860,6889310,6410920,3.0891627106548083,3.337498595736223,2.993330795584317,2.274227752851882,1.204856713233046
80000,7082030,2003170,8320640,2733610,8099560,3107610,14431980,5906380,5999580,3.5354113729738366,3.0438284905308364,2.6063630893194447,2.443456059379857,1.3868704142623316
90000,6517980,1954040,7440030,2601160,9015650,3359770,15848900,6031070,6291400,3.335643077930851,2.8602738778083623,2.68341285266551,2.62787531897325,1.1825714467368154
100000,6842460,1961310,8427990,3202420,10210860,3813270,17655130,6446510,6151250,3.4887192743625435,2.631756609064395,2.677717549504756,2.7387113337294133,1.3701263970737656
200000,14457870,3376680,16128000,4620580,16815820,5719810,30687040,10613210,7264480,4.281682007178649,3.490470893264482,2.9399263262241226,2.8914004339874553,2.220117613373566
300000,21920230,4704210,25275750,8024550,27244750,9045790,48710080,17430610,12084890,4.659704817599555,3.149802792679963,3.011870715548338,2.794513789247766,2.0915167618406127
400000,30189570,6336100,34455560,8496360,35763300,10103760,70272410,19694220,15827800,4.764692792096084,4.055331930379598,3.5396030784579207,3.568174317134672,2.176901401331834
500000,36119530,7922260,40609980,10287250,42238620,14238990,78509270,23077490,16070510,4.559245720286888,3.9476031009259036,2.9664056228707234,3.401984791240295,2.5269876313819535
600000,37343690,7568530,41839450,10908110,43205240,12373910,80708920,25837290,13919960,4.934074384325622,3.835627803533334,3.4916400717315708,3.1237378223490158,3.0057162520581957
700000,43952820,8361430,49434160,12338260,50675140,13305750,94039190,31123530,15556460,5.256615196204477,4.00657467098278,3.808514364090713,3.021482139076127,3.1777255236731237
800000,50960270,9407410,57216140,13641030,58666950,14497460,109703990,34084430,19443600,5.417035081919465,4.194414937874926,4.046705422880974,3.218595411453265,2.9426721389043182
900000,58344190,13056960,66509020,14816020,67692170,18776490,127561370,37464900,20739680,4.468435991226135,4.488993670364916,3.605155702689906,3.404823448080737,3.206848900272328
1000000,66460940,16634340,74103490,15928410,75638600,19944750,138097150,45482830,23894630,3.9954058892628144,4.652284189068463,3.7924065230198423,3.0362479643417086,3.1012612457275965
2000000,140791010,26956480,153309310,36090050,156296800,43375340,289388150,83921660,45295710,5.22290039352319,4.2479661291685655,3.6033561927122646,3.44831298618259,3.3846320104045176
